anzahl;vorname;geschlecht
6;Selma;w
1;Sema;w
1;Semanur;w
1;Sena;w
1;Senyasu;w
1;Serafina;w
1;Serena;w
1;Serpil;w
1;Seyedeh;w
1;Shalin;w
1;Shams;w
1;Shanya;w
2;Sharleen;w
1;Sharon;w
1;Shayma;w
1;Sheila;w
1;Sherin;w
1;Shery;w
1;Shinwe;w
2;Shirin;w
1;Shiva;w
1;Siana;w
2;Sibel;w
1;Sidonie;w
3;Sienna;w
1;Silesia;w
1;Silifat;w
2;Silja;w
1;Silke;w
1;Silke-Birgit;w
1;Silvana;w
1;Silvia;w
1;Simay;w
1;Simone;w
1;Simran;w
1;Simy;w
3;Sina;w
1;Sinem;w
1;Sireen;w
1;Siri;w
1;Sirine;w
1;Sirmo;w
1;Sisan;w
1;Sissi;w
1;Sita;w
1;Sitara;w
1;Smilla;w
1;Snežana;w
1;Soe;w
1;Sofi;w
14;Sofia;w
13;Sofie;w
1;Sofija;w
1;Solaia;w
1;Soleil;w
1;Sonija;w
1;Sonja;w
44;Sophia;w
133;Sophie;w
1;Sophie-Ellen;w
1;Sophie-Luisa;w
1;Sophy;w
5;Soraya;w
1;Soraya-Milayna;w
1;Soraya-Schirin;w
1;Soraya-Suri;w
1;Soufia;w
2;Souhaila;w
2;Soukaina;w
1;Soumaya;w
1;Soumia;w
2;Stéphanie;w
1;Stacey;w
1;Stacy;w
2;Stefania;w
7;Stefanie;w
11;Stella;w
1;Stella-Marie;w
1;Stewart;w
2;Su;w
1;Suada;w
1;Sude;w
1;Sudenaz;w
1;Sudenur-Nilgün;w
3;Sue;w
1;Suela;w
1;Suhela;w
1;Suki;w
1;Sukie;w
1;Sultan;w
1;Sumeia;w
1;Summer;w
1;Suna;w
1;Suri;w
1;Surya;w
1;Susan;w
1;Susann;w
1;Susanna;w
4;Susanne;w
2;Svea;w
1;Sydney;w
1;Syeda;w
1;Sylvia;w
1;Syona;w
4;Tabea;w
1;Takwa;w
1;Takyiwaa;w
1;Takyiwah;w
1;Tali;w
1;Talia;w
1;Talya;w
2;Tamara;w
1;Tamya;w
1;Tannaz;w
3;Tara;w
1;Tariq;w
2;Tasnim;w
1;Tatiana;w
1;Tatu;w
1;Tayshia;w
1;Teniola;w
1;Teodora;w
2;Teresa;w
1;Tesnim;w
3;Tessa;w
2;Thérèse;w
1;Thérese;w
1;Thalea;w
1;Thandie;w
1;Thea;w
1;Thea-Marie;w
1;Theodora;w
11;Theresa;w
1;Therese;w
1;Theresia;w
1;Thomai;w
1;Thompson;w
1;Thora;w
1;Thordis;w
1;Tida;w
2;Tilda;w
5;Tina;w
1;Tokessa;w
1;Toni;w
2;Tot;w
1;Trabanti;w
1;Tran;w
1;Trisha;w
7;Tuana;w
1;Tuba;w
1;Tukka;w
1;Tyger;w
1;Tyra;w
1;Ulla;w
2;Ulrike;w
1;Una;w
1;Ursel;w
4;Ursula;w
1;Ute;w
1;Valentíne;w
14;Valentina;w
2;Valeria;w
6;Valerie;w
2;Valeska;w
1;Van;w
1;Vanesa;w
6;Vanessa;w
1;Vanessa-Maia;w
1;Vasilika;w
1;Vassilios;w
1;Vatersname;w
1;Velvet;w
1;Venice;w
2;Vera;w
1;Verginia;w
1;Verona;w
1;Veronika;w
1;Vesa;w
1;Viann;w
15;Victoria;w
14;Viktoria;w
1;Viktoria-Marie;w
1;Viola;w
1;Violet;w
1;Vivian;w
1;Viviana;w
14;Vivien;w
3;Vivienne;w
1;Wakana;w
1;Waltraut;w
1;Wanda;w
1;Wenya;w
1;Wenyi;w
1;Werekowaa;w
4;Wiam;w
2;Wiebke;w
2;Wilhelmina;w
1;Wjatscheslawovna;w
2;Xenia;w
1;Xiaoqing;w
2;Xin;w
1;Xuân-Yên;w
1;Yael;w
1;Yaka;w
2;Yara;w
1;Yaren;w
1;Yaren-Elif;w
3;Yasmin;w
1;Yasmina;w
1;Yassira;w
1;Yeşim;w
1;Yee;w
1;Yehodah;w
1;Ylva;w
1;Yoko;w
1;Yolanda;w
1;Yoshie;w
1;Youna;w
3;Yousra;w
2;Youssra;w
1;Yu;w
2;Yumi;w
1;Yurika;w
1;Yuryevna;w
1;Yusra;w
1;Yuuri;w
1;Yuyang;w
1;Yvana;w
1;Yvonne;w
1;Zülal;w
2;Zümra;w
1;Züriya;w
5;Zahra;w
1;Zahra-Youssra;w
1;Zainab;w
1;Zara;w
1;Zehra;w
1;Zehra-Gül;w
1;Zekije;w
1;Zelia;w
3;Zeynep;w
1;Zeynep-Eda;w
1;Ziena;w
1;Zilan;w
1;Zippora;w
1;Zita;w
2;Zoë;w
8;Zoé;w
1;Zoé-Leyla;w
24;Zoe;w
1;Zoe-Sophia;w
1;Zofia;w
2;Zoi;w
1;Zolfar;w
1;Zywicki;w
